Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,22u,
"C10, C4, C5, C6, C7",0402,5,100n,
"C11, C12",0402,2,10p,
C13,0402,1,1u,
"C2, C9",0603,2,22u,
C3,0603,1,10u,
"D1, D4, D7",0805,3,LEDR,C84256
"D2, D5, D8",0805,3,LEDG,C2297
"D3, D6, D9",0805,3,LEDB,C2985984
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,C165948
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9",SOT-23,9,AO3400A,C20917
"R1, R2, R3",0402,3,10k,
"R10, R11, R12, R13, R14, R15, R7, R8, R9",0603,9,150,C22808
R4,0402,1,330,
"R5, R6",0402,2,5k1,
U1,SOT-223-3_TabPin2,1,AMS1117-3.3,
U3,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
U4,SOT-23-6,1,SRV05-4,C7420376
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,
